course_id,course_name,category,main_category,syllabus_source,syllabus_item_count,existing_syllabus_details
"25","Train The Trainer Course","Language & Soft Skills","corporate","courses_data.js > modules.topics","5","Module 1: Train The Trainer Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"26","Spoken English Classes","Language & Soft Skills","corporate","courses_data.js > modules.topics","5","Module 1: Spoken English Classes Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"27","Personality Development Classes","Language & Soft Skills","corporate","courses_data.js > modules.topics","5","Module 1: Personality Development Classes Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"28","Ielts Course","Language & Soft Skills","corporate","courses_data.js > modules.topics","5","Module 1: Ielts Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"29","Workday Course","HR & Management","corporate","courses_data.js > modules.topics","5","Module 1: Workday Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"30","Hr Certification Course","HR & Management","corporate","courses_data.js > modules.topics","5","Module 1: Hr Certification Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"31","Hr Audit Course","HR & Management","corporate","courses_data.js > modules.topics","5","Module 1: Hr Audit Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"32","Hr Analytics Course","HR & Management","corporate","courses_data.js > modules.topics","5","Module 1: Hr Analytics Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"33","Hr Training","HR & Management","corporate","courses_data.js > modules.topics","5","Module 1: Hr Training Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"34","Sap Hr Course","SAP","corporate","courses_data.js > modules.topics","5","Module 1: Sap Hr Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"35","Hrbp Course","HR & Management","corporate","courses_data.js > modules.topics","5","Module 1: Hrbp Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"36","Dotnet Full Stack Software Development Dsa Course","Software Development","technical","courses_data.js > modules.topics","5","Module 1: Dotnet Full Stack Software Development Dsa Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"37","Java Full Stack Software Development Dsa Course","Software Development","technical","courses_data.js > modules.topics","5","Module 1: Java Full Stack Software Development Dsa Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"38","Python Full Stack Software Development Dsa Course","Software Development","technical","courses_data.js > modules.topics","5","Module 1: Python Full Stack Software Development Dsa Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"39","Digital Marketing Course","Digital Marketing","non-technical","courses_data.js > modules.topics","5","Module 1: Digital Marketing Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"40","Sap Success Factor Course","SAP","corporate","courses_data.js > modules.topics","5","Module 1: Sap Success Factor Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"41","Web Full Stack Software Development Dsa Course","Software Development","technical","courses_data.js > modules.topics","5","Module 1: Web Full Stack Software Development Dsa Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"42","Sap Basis Course","SAP","corporate","courses_data.js > modules.topics","5","Module 1: Sap Basis Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"43","Sap Pp Course","SAP","corporate","courses_data.js > modules.topics","5","Module 1: Sap Pp Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"44","Sap Abap Course","SAP","corporate","courses_data.js > modules.topics","5","Module 1: Sap Abap Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"45","Sap Mm Course","SAP","corporate","courses_data.js > modules.topics","5","Module 1: Sap Mm Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"46","Sap Fico Course","SAP","corporate","courses_data.js > modules.topics","5","Module 1: Sap Fico Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"47","Sap Course","SAP","corporate","courses_data.js > modules.topics","5","Module 1: Sap Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"48","Salesforce Course","Software Testing & Others","technical","courses_data.js > modules.topics","5","Module 1: Salesforce Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"49","Linux Course","Cloud & Networking","technical","courses_data.js > modules.topics","5","Module 1: Linux Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"50","Devops Course","Cloud & Networking","technical","courses_data.js > modules.topics","5","Module 1: Devops Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"51","Ccnp Course","Cloud & Networking","technical","courses_data.js > modules.topics","5","Module 1: Ccnp Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"52","Ccna Course","Cloud & Networking","technical","courses_data.js > modules.topics","5","Module 1: Ccna Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"53","Cloud Computing Course","Cloud & Networking","technical","courses_data.js > modules.topics","5","Module 1: Cloud Computing Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"54","Google Cloud Platform Course","Cloud & Networking","technical","courses_data.js > modules.topics","5","Module 1: Google Cloud Platform Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"55","Azure Course","Cloud & Networking","technical","courses_data.js > modules.topics","5","Module 1: Azure Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"56","Aws Course","Cloud & Networking","technical","courses_data.js > modules.topics","5","Module 1: Aws Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"57","Cyber Security Analyst Course","Cyber Security","technical","courses_data.js > modules.topics","5","Module 1: Cyber Security Analyst Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"58","Chfi Course","Cyber Security","technical","courses_data.js > modules.topics","5","Module 1: Chfi Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"59","Security Operations Center Course","Cyber Security","technical","courses_data.js > modules.topics","5","Module 1: Security Operations Center Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"60","Ethical Hacking Course","Cyber Security","technical","courses_data.js > modules.topics","5","Module 1: Ethical Hacking Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"61","Cyber Security Course","Cyber Security","technical","courses_data.js > modules.topics","5","Module 1: Cyber Security Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"62","Wapt Course","Cyber Security","technical","courses_data.js > modules.topics","5","Module 1: Wapt Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"63","Uiux Design Course","Design","non-technical","courses_data.js > modules.topics","5","Module 1: Uiux Design Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"64","Data Structures Algorithms Course","Software Development","technical","courses_data.js > modules.topics","5","Module 1: Data Structures Algorithms Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"65","Data Structures With C C Course","Software Development","technical","courses_data.js > modules.topics","5","Module 1: Data Structures With C C Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"66","Software Testing Course","Software Testing & Others","technical","courses_data.js > modules.topics","5","Module 1: Software Testing Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"67","Java Course","Software Development","technical","courses_data.js > modules.topics","5","Module 1: Java Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"68","C And C Course","Software Development","technical","courses_data.js > modules.topics","5","Module 1: C And C Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"69","Angular 16 Course","Software Development","technical","courses_data.js > modules.topics","5","Module 1: Angular 16 Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"70","React Js Course","Software Development","technical","courses_data.js > modules.topics","5","Module 1: React Js Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"71","Front End Development Course","Software Development","technical","courses_data.js > modules.topics","5","Module 1: Front End Development Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"72","Web Development Course","Software Development","technical","courses_data.js > modules.topics","5","Module 1: Web Development Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"73","Mern Stack Course","Software Development","technical","courses_data.js > modules.topics","5","Module 1: Mern Stack Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"74","Mean Stack Course","Software Development","technical","courses_data.js > modules.topics","5","Module 1: Mean Stack Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"75","Dot Net Full Stack Course","Software Development","technical","courses_data.js > modules.topics","5","Module 1: Dot Net Full Stack Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"76","Full Stack Java Course","Software Development","technical","courses_data.js > modules.topics","5","Module 1: Full Stack Java Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"77","Mobile App Development Course","Software Development","technical","courses_data.js > modules.topics","5","Module 1: Mobile App Development Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"78","Full Stack Developer Course","Software Development","technical","courses_data.js > modules.topics","5","Module 1: Full Stack Developer Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"79","Advanced Excel Course","Analytics & Tools","technical","courses_data.js > modules.topics","5","Module 1: Advanced Excel Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"80","Plsql Course","Analytics & Tools","technical","courses_data.js > modules.topics","5","Module 1: Plsql Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"81","Rpa Course","Analytics & Tools","technical","courses_data.js > modules.topics","5","Module 1: Rpa Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"82","Ai Course","Data Science & AI","technical","courses_data.js > modules.topics","5","Module 1: Ai Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"83","Sql Course","Analytics & Tools","technical","courses_data.js > modules.topics","5","Module 1: Sql Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"84","Business Analyst Course","Analytics & Tools","technical","courses_data.js > modules.topics","5","Module 1: Business Analyst Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"85","Tableau Course","Analytics & Tools","technical","courses_data.js > modules.topics","5","Module 1: Tableau Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"86","Machine Learning Course","Data Science & AI","technical","courses_data.js > modules.topics","5","Module 1: Machine Learning Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"87","Python Course","Software Development","technical","courses_data.js > modules.topics","5","Module 1: Python Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"88","Power Bi Course","Analytics & Tools","technical","courses_data.js > modules.topics","5","Module 1: Power Bi Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"89","Databricks Course","Data Science & AI","technical","courses_data.js > modules.topics","5","Module 1: Databricks Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"90","Django Course","Software Development","technical","courses_data.js > modules.topics","5","Module 1: Django Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"91","R Programming Course","Analytics & Tools","technical","courses_data.js > modules.topics","5","Module 1: R Programming Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"92","Full Stack Python Course","Software Development","technical","courses_data.js > modules.topics","5","Module 1: Full Stack Python Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
